date,state,positive,new_positive,negative,death,new_death,hospitalized
20200717,Oklahoma,24140,699,440904,445,7,2289
20200717,Oregon,13802,293,310393,254,5,1327
20200717,Pennsylvania,99478,1032,899912,6992,19,
20200717,Puerto Rico,11120,546,255766,177,5,
20200717,Rhode Island,17793,82,161408,990,2,2088
20200717,South Carolina,66060,1977,487315,1096,26,4182
20200717,South Dakota,7789,95,88184,116,1,763
20200717,Tennessee,73819,2279,1076853,815,19,3562
20200717,Texas,307572,14916,2459749,3735,174,
20200717,Utah,32572,727,415234,235,1,1984
20200717,Virginia,75433,1002,801271,2013,6,11054
20200717,Virgin Islands,263,14,5790,6,0,
20200717,Vermont,1334,9,78032,56,0,
20200717,Washington,44313,1267,708861,1427,6,4944
20200717,Wisconsin,44068,929,712197,840,2,4031
20200717,West Virginia,4783,126,217769,100,1,
20200717,Wyoming,2069,43,41927,24,0,140
20200716,Alaska,2032,401,160990,17,0,
20200716,Alabama,61088,2021,490021,1230,19,7584
20200716,Arkansas,31114,817,369847,341,6,1994
20200716,American Samoa,0,0,1037,0,0,
20200716,Arizona,134613,3259,614653,2492,58,6296
20200716,California,356178,8544,5559330,7345,118,
20200716,Colorado,38155,469,378061,1601,7,5950
20200716,Connecticut,47750,114,582333,4389,9,10654
20200716,Washington DC,11076,50,129166,574,3,
20200716,Delaware,13114,64,131756,521,0,
20200716,Florida,315775,13965,2499843,4782,156,20154
20200716,Georgia,131275,3441,1046947,3104,13,14346
20200716,Guam,314,1,17697,5,0,
20200716,Hawaii,1292,28,98095,22,0,137
20200716,Iowa,37132,841,359319,778,16,
20200716,Idaho,12445,727,124418,110,7,526
20200716,Illinois,159082,1257,1964657,7452,25,
20200716,Indiana,54080,710,541478,2795,10,7747
20200716,Kansas,20933,0,218441,299,0,1393
20200716,Kentucky,21083,406,446921,650,5,2842
20200716,Louisiana,86411,2280,937726,3485,24,
20200716,Massachusetts,112581,234,889103,8380,12,11663
20200716,Maryland,75664,648,616865,3347,6,11687
20200716,Maine,3598,20,126864,114,0,374
20200716,Michigan,79839,926,1315315,6348,18,
20200716,Minnesota,44347,605,760865,1566,8,4526
20200716,Missouri,30422,708,498879,1113,11,
20200716,MP,36,0,10664,2,0,4
20200716,Mississippi,39797,1230,324103,1308,18,3675
20200716,Montana,2231,135,125609,35,1,150
20200716,North Carolina,93426,2160,1219331,1588,20,
20200716,North Dakota,4668,103,123388,82,1,285
20200716,Nebraska,21979,262,201250,291,5,1453
20200716,New Hampshire,6113,22,132159,394,2,668
20200716,New Jersey,176501,223,1583403,15665,58,20774
20200716,New Mexico,15841,327,421164,557,6,2284
20200716,Nevada,31915,1447,338928,626,8,
20200716,New York,404775,769,4516435,25014,11,89995
20200716,Ohio,70601,1290,1018192,3103,28,9324
20200716,Oklahoma,23441,628,433376,438,6,2218
20200716,Oregon,13509,428,305437,249,2,1311
20200716,Pennsylvania,98446,781,885195,6973,16,
20200716,Puerto Rico,10574,195,255766,172,1,
20200716,Rhode Island,17711,71,159677,988,1,2084
20200716,South Carolina,64083,1838,475881,1070,72,3744
20200716,South Dakota,7694,42,86342,115,4,757
20200716,Tennessee,71540,2479,1052157,796,13,3497
20200716,Texas,292656,10291,2407199,3561,129,
20200716,Utah,31845,954,407683,234,1,1956
20200716,Virginia,74431,904,786742,2007,15,10778
20200716,Virgin Islands,249,6,5036,6,0,
20200716,Vermont,1325,7,77715,56,0,
20200716,Washington,43046,742,690840,1421,17,4829
20200716,Wisconsin,43139,942,699670,838,4,3968
20200716,West Virginia,4657,100,214517,99,2,
20200716,Wyoming,2026,41,41426,24,2,131
20200715,Alaska,1631,52,154462,17,0,
20200715,Alabama,59067,1812,481982,1211,47,7291
20200715,Arkansas,30297,564,365479,335,4,1948
20200715,American Samoa,0,0,816,0,0,
20200715,Arizona,131354,3257,604608,2434,97,6103
20200715,California,347634,11126,5445642,7227,140,
20200715,Colorado,37686,444,372304,1594,5,5963
20200715,Connecticut,47636,106,568022,4380,8,10552
20200715,Washington DC,11026,80,126918,571,3,
20200715,Delaware,13050,81,130338,521,3,
20200715,Florida,301810,10181,2434143,4626,112,19659
20200715,Georgia,127834,3871,1027149,3091,37,14102
20200715,Guam,313,1,17514,5,0,
20200715,Hawaii,1264,21,96293,22,0,133
20200715,Iowa,36291,442,351021,762,5,
20200715,Idaho,11718,316,122196,103,1,510
20200715,Illinois,157825,1187,1922908,7427,8,
20200715,Indiana,53370,685,533219,2785,10,7686
20200715,Kansas,20933,875,218441,299,11,1393
20200715,Kentucky,20677,454,438510,645,10,2823
20200715,Louisiana,84131,2089,917069,3461,16,
20200715,Massachusetts,112347,217,876366,8368,28,11651
20200715,Maryland,75016,756,605072,3341,7,11625
20200715,Maine,3578,12,124353,114,0,373
20200715,Michigan,78913,1049,1289006,6330,4,
20200715,Minnesota,43742,572,746755,1558,10,4495
20200715,Missouri,29714,888,488233,1102,9,
20200715,MP,36,3,10664,2,0,4
20200715,Mississippi,38567,1025,318290,1290,18,3629
20200715,Montana,2096,144,121662,34,0,145
20200715,North Carolina,91266,1782,1193371,1568,16,
20200715,North Dakota,4565,72,121999,81,3,284
20200715,Nebraska,21717,318,198026,286,-2,1442
20200715,New Hampshire,6091,23,131018,392,1,665
20200715,New Jersey,176278,363,1566069,15607,25,20774
20200715,New Mexico,15514,223,414492,551,3,2261
20200715,Nevada,30468,849,333957,618,6,
20200715,New York,404006,831,4444519,25003,9,89995
20200715,Ohio,69311,1316,993312,3075,6,9209
20200715,Oklahoma,22813,1075,424512,432,4,2170
20200715,Oregon,13081,276,298705,247,3,1290
20200715,Pennsylvania,97665,994,870984,6957,26,
20200715,Puerto Rico,10379,256,255766,171,2,
20200715,Rhode Island,17640,52,158235,987,2,2075
20200715,South Carolina,62245,1856,463738,998,5,3744
20200715,South Dakota,7652,80,85891,111,2,752
20200715,Tennessee,69061,2273,1028612,783,16,3434
